Response	Submitted_on	Course	Q01_My_Professor	Q02_Gender	Q03_Hand	Q04_Hand_Span	Q05_Left_Hand_Span	Q06_Height	Q07_Age	Q08_Birthday	Q09_Sleeping	Q10_On_campus	Q11_Watching_TV	Q12_Games	Q13_Facebook	Q14_Tattoos	Q15_Twitter	Q16_Political_Orientation	Q17_STAT	Q18_Data	Q19_Famous	Q20_Career	Q21_Death_Penalty	Q22_gays_and_lesbians	Q23_Gays_and_Lesbians_Military	Q24_Greatest_influence	Q25_Greatest_influence_2	Q26_Greatest_influence_3	Q27_Stat_course	Q28_Enrolled_Course
16651	09:52 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17	15	61	19	2 days ago	7	0	1	0	hi	0	0	Moderate	1	collection of information	Not important	One of the most important things, but not the most important.	no opinion	no opinion	no opinion	Education	Friends and family	I don't know	Regular Lecures	STAT 10
16652	10:34 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	22.9	22.9	61	20	3.5	8	0	10	0	90	0	0	Very Liberal	1	collected information	Not important	Not important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16653	10:37 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	11	11.3	5.4	22	8	3	0	2	0	10	0	0	Moderate	0	information	Somewhat important	Important	oppose	no opinion	favor	Religious Beliefs	No opinion	Something else	Regular Lecures	STAT 10
16654	10:51 AM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	15	50	19	1	8	0	6	0	99	0	0	Moderate	1	Info	Not important	Very important	favor	strongly favor	strongly favor	Friends and family	I don't know	I don't know	Regular Lecures	STAT 10
16655	10:53 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17.5	17.5	61	18	7	6	1	0	0	99	0	1	Very Liberal	1	Collection of information	Not important	Important	strongly favor	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16656	10:55 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19.5	20	68	19	8	8	1	0	0	99	0	0	Moderate	0	Collected information	Not important	Very important	favor	favor	favor	Media	Something else	Something else	Regular Lecures	STAT 10
16657	11:00 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17	16	63	20	1	7	0	1	0	60	1	0	Moderate	1	A set of numbers	Somewhat important	Somewhat important	no opinion	strongly favor	favor	Religious Beliefs	Personal Experience	Media	Regular Lecures	STAT 10
16658	11:11 AM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15.2	16.5	65	18	11	4	0	5	0	40	0	0	Liberal	1	Data for me means computi	Not important	Not important	no opinion	favor	favor	Religious Beliefs	Media	Friends and family	Regular Lecures	STAT 10
16659	11:30 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19	59	18	10	8	1	0	0	99	0	0	Moderate	1	Facts or information	Somewhat important	Important	no opinion	no opinion	no opinion	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16660	11:41 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	18	71	21	2	8	0	2	0	40	0	1	Moderate	0	numerical inputs	Somewhat important	Very important	oppose	favor	strongly favor	Media	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16661	12:48 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	15.5	15.7	61.5	20	2	6	0	1	0	5	0	0	Liberal	1	a collection of facts	Not important	Somewhat important	strongly favor	favor	strongly favor	Friends and family	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16662	01:16 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18.5	18	65	19	7	9	0	3	0	?	0	0	Liberal	0	values + context	Not important	Very important	strongly favor	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16663	01:22 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	21	21	65	19	9	7	0	0	0	99	0	0	Liberal	1	collected information	Not important	Important	strongly oppose	strongly favor	strongly favor	Education	Friends and family	Education	Regular Lecures	STAT 10
16664	01:49 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22	21	69	19	7.5	7	0	0	2	40	0	0	Liberal	0	collected information	Not important	Very important	oppose	favor	favor	I don't know	Education	I don't know	Regular Lecures	STAT 10
16665	01:54 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17.8	18.5	61	21	6	8	0	0	0	99	0	0	Liberal	1	information	Not important	One of the most important things, but not the most important.	oppose	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16666	01:54 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	21	22	66	19	4	7	1	0	0	69	0	0	Moderate	0	information collected	One of the most important things, but not the most important.	Important	favor	strongly favor	strongly favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16667	02:19 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	180	175	186	19	5	8	1	1	0	24	0	0	Moderate	1	results from trials	Not important	Very important	no opinion	strongly favor	strongly favor	No opinion	Education	Education	Regular Lecures	STAT 10
16668	02:23 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	15	15	60	19	5	6	1	0	0	30	1	0	Moderate	0	Information	Somewhat important	Important	no opinion	favor	no opinion	No opinion	I don't know	No opinion	Regular Lecures	STAT 10
16669	02:25 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	17.5	61	19	3	8	0	0	0	99	0	0	Moderate	1	information	Not important	One of the most important things, but not the most important.	favor	favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16670	02:58 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	19.5	61	18	11	10	1	3	1	35	0	0	Moderate	0	numbers	Don't know for sure	One of the most important things, but not the most important.	oppose	favor	favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16671	03:49 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.5	17.5	62	20	11	6	0	0	0	78	0	0	Moderate	1	a set of results	Important	One of the most important things, but not the most important.	no opinion	favor	favor	Education	Friends and family	Something else	Regular Lecures	STAT 10
16672	04:02 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21	22	176	19	3	6	1	0	7	99	0	0	Liberal	1	information	Not important	Important	oppose	favor	favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16673	04:03 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	12.9	13	68	18	216	7	1	0	2	?	0	0	Liberal	1	Results	Somewhat important	One of the most important things, but not the most important.	no opinion	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16674	04:10 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	11	11	63	21	5	9	0	2	2	20	0	0	Moderate	1	information	Not important	Important	favor	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16675	04:15 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	30	30	68	21	6	10	0	0	0	3k	0	0	Conservative	1	information	Important	Important	strongly favor	strongly oppose	no opinion	Education	Religious Beliefs	I don't know	Regular Lecures	STAT 10
16676	04:19 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	20	20	69	20	9	8	1	1	0	99	0	0	Liberal	1	information	Not important	Somewhat important	oppose	strongly favor	strongly favor	Education	Personal Experience	Education	Regular Lecures	STAT 10
16677	04:23 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	19	63	19	9	9	1	0	0	45	0	5	Moderate	0	gathered information	Not important	Very important	favor	favor	favor	Media	Education	Media	Regular Lecures	STAT 10
16678	04:36 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19	65	19	3	7	1	3	0	5	0	0	Conservative	1	information from research	Don't know for sure	Important	favor	oppose	no opinion	No opinion	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16679	04:41 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22.5	22.4	71	18	6	7	1	0	0	30	0	0	Liberal	0	A set of measured values	Not important	Important	no opinion	favor	favor	I don't know	Something else	Something else	Regular Lecures	STAT 10
16680	05:17 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	23	23	70	19	11	7	1	0	0	1	0	0	Liberal	0	information	Somewhat important	Very important	oppose	favor	favor	Media	Education	Friends and family	Regular Lecures	STAT 10
16681	05:24 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20.5	67.5	19	this month	6	0	4	0	69	0	0	Liberal	0	collected factual info	Very important	Very important	favor	favor	favor	Personal Experience	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16682	05:32 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	17.8	58	19	7	6	1	0	0	90	0	0	Moderate	1	Anything that can be coll	Not important	Important	oppose	favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16683	05:35 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	7.5	7.5	5.4	23	3	8	0	6	0	99	0	0	Moderate	1	Statistics	Somewhat important	Very important	favor	favor	favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16684	05:36 PM on 09/21/2011	Introduction to Statistical Reasoning		Male	Right	21.5	20.5	69	19	4	6	1	1	1	50	0	0	Moderate	1	Information	Not important	Not important	no opinion	favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16685	05:38 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21.8	22.1	71	19	7	7	1	0	0	99	0	0	Liberal	0	information	One of the most important things, but not the most important.	One of the most important things, but not the most important.	no opinion	strongly favor	strongly favor	Something else	Education	Education	Regular Lecures	STAT 10
16686	05:44 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	18	19	61	20	1	7	0	0	0	57	0	0	Liberal	1	information	Not important	Very important	favor	strongly favor	strongly favor	I don't know	I don't know	Media	Regular Lecures	STAT 10
16687	05:47 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.3	20.3	67	21	5	7	0	1	1	99	0	0	Conservative	1	results	Not important	Somewhat important	oppose	favor	favor	Personal Experience	Media	Education	Regular Lecures	STAT 10
16689	06:15 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	18.8	18.8	66	19	4	12	1	0	0	0	0	1	Liberal	0	Data is information.	Not important	Somewhat important	strongly oppose	strongly favor	strongly favor	Something else	Personal Experience	I don't know	Regular Lecures	STAT 10
16690	06:24 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20	67	18	11	7	1	1	0	32	0	0	Moderate	1	Pieces of information.	Not important	Important	favor	favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16691	06:45 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15.3	15	63	20	10	8	0	3	0	4 C	0	0	Liberal	1	information	Not important	One of the most important things, but not the most important.	favor	strongly oppose	no opinion	Personal Experience	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16692	06:59 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19	19	65	18	11	8	0	0	3	90	0	0	Moderate	1	FACTS	Somewhat important	Very important	favor	favor	favor	Friends and family	Education	Personal Experience	Regular Lecures	STAT 10
16693	07:06 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	6	6	68	18	11	8	0	5	0	20	0	0	Conservative	1	analysis of quantatative	Somewhat important	Somewhat important	favor	oppose	favor	No opinion	Religious Beliefs	I don't know	Regular Lecures	STAT 10
16694	07:22 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22.5	22	70.5	21	5	7	0	1	5	99	0	0	Moderate	1	information	Somewhat important	Important	favor	favor	favor	Education	Education	I don't know	Regular Lecures	STAT 10
16695	07:42 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	10	10	64	19	7	8	0	0	0	83	0	0	Liberal	1	statistics	Not important	Somewhat important	favor	strongly favor	strongly favor	Something else	Friends and family	Education	Regular Lecures	STAT 10
16696	07:44 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	25	25	67	24	8	6	0	2	0	30	1	0	Liberal	1	Quantifiable information	Not important	Important	no opinion	strongly favor	strongly favor	I don't know	Education	Education	Regular Lecures	STAT 10
16697	07:49 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.8	18	67	19	1	3	0	2	0	99	2	1	Liberal	0	statistics used for info	Not important	Important	favor	strongly favor	strongly favor	Friends and family	Personal Experience	Friends and family	Regular Lecures	STAT 10
16699	07:59 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19	19	62	18	1	8	1	0	0	*	0	1	Very Liberal	1	statistics to be analyzed	Not important	Somewhat important	strongly oppose	strongly favor	strongly favor	Education	Personal Experience	I don't know	Regular Lecures	STAT 10
16700	08:06 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	18	65	20	8	7	1	0	0	?	0	0	Liberal	1	Numerical information	Don't know for sure	One of the most important things, but not the most important.	no opinion	strongly favor	favor	Religious Beliefs	Friends and family	Media	Regular Lecures	STAT 10
16701	08:18 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22	24	67	50	9	6	0	0	0	60	6	0	Liberal	0	information	Not important	Not important	oppose	favor	favor	Personal Experience	Education	Education	Regular Lecures	STAT 10
16703	08:22 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20	59	20	12	6	1	3	5	&gt;9	0	0	Moderate	1	result of measurements	Somewhat important	Very important	favor	favor	favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16704	08:23 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	22.9	24	68	-1	0	5	0	5	0	8	0	0	Moderate	1	collection of information	Somewhat important	Important	oppose	favor	favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16705	08:27 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20	65	20	9	7	0	0	0	20	2	24	Liberal	1	gathered information	Not important	Very important	oppose	strongly favor	strongly favor	Religious Beliefs	Friends and family	Friends and family	Regular Lecures	STAT 10
16706	08:38 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	160	170	62	21	3	5	0	4	0	36	0	0	Liberal	1	information in variables	Not important	Somewhat important	no opinion	strongly favor	strongly favor	No opinion	Education	Education	Regular Lecures	STAT 10
16707	08:39 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.5	18	65	19	1	7	1	0	0	68	0	0	Moderate	1	collected information	Not important	One of the most important things, but not the most important.	oppose	favor	favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
16708	08:43 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	20	20	71	18	11	7	1	0	0	99	0	0	Moderate	1	Information	Not important	Important	strongly favor	strongly favor	no opinion	Something else	Education	Education	Regular Lecures	STAT 10
16709	09:04 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	19	68	19	1	5.5	0	0	0	99	0	0	Conservative	0	information	Important	Important	oppose	strongly favor	favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16711	09:16 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	32	31	67	21	8	5	0	5	0	40	1	0	Moderate	0	information	Important	Important	favor	oppose	favor	Religious Beliefs	Religious Beliefs	Personal Experience	Regular Lecures	STAT 10
16712	09:20 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19.5	19	63	20	3.5	5.75	0	0.75	0	35	0	0	Very Liberal	1	large pool of information	Not important	Not important	strongly oppose	strongly favor	strongly favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16714	09:42 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	19	70	19	7	9	0	4	1	99	0	0	Liberal	1	Information	Not important	Very important	favor	favor	favor	Media	Education	I don't know	Regular Lecures	STAT 10
16715	09:49 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	18	17.5	66	19	5	9	0	0	0	99	0	2	Liberal	1	results of measurements	Not important	Somewhat important	oppose	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16716	09:49 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	23	24	62	20	10	12	1	2	0	50	0	0	Liberal	1	information	Not important	Important	oppose	favor	strongly favor	Something else	Media	Media	Regular Lecures	STAT 10
16718	10:00 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19.5	19.8	68	19	5	6.5	1	0.5	0	40	0	0	Liberal	1	empirical information	Not important	Somewhat important	no opinion	strongly favor	strongly favor	No opinion	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16719	10:40 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19	19	62	19	5	9	1	1	0	99	0	0	Moderate	1	information	Somewhat important	One of the most important things, but not the most important.	no opinion	no opinion	favor	Religious Beliefs	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16720	10:10 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	20	20	67	20	10	7	1	3	2	75	0	0	Moderate	1	information in numbers	Not important	One of the most important things, but not the most important.	favor	no opinion	no opinion	Media	No opinion	No opinion	Regular Lecures	STAT 10
16721	10:10 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	22	22	68	21	6	8	0	10	0	99	0	0	Liberal	1	numerical info/results	Somewhat important	Very important	favor	strongly favor	strongly favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
16722	10:15 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Both	19.5	19.5	65	18	11	5	1	0	0	99	0	5	Liberal	1	obtained set of numbers	Not important	Important	oppose	strongly favor	strongly favor	Media	Friends and family	Media	Regular Lecures	STAT 10
16723	10:21 PM on 09/21/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	23	21	64.5	19	8	7	0	6	0	10	0	0	Liberal	1	variables	Not important	Important	oppose	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16724	10:23 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Left	21.5	21.8	70	19	6	7.75	1	2	4	24	0	0	Conservative	1	researched information	Somewhat important	Not important	oppose	favor	strongly favor	Education	Education	Media	Regular Lecures	STAT 10
16725	10:26 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20.3	63	20	9	11	1	0	0	99	0	0	Moderate	1	information	Not important	Very important	favor	favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16726	10:27 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	22	22	69	19	9	8	1	0	0	60	0	0	Conservative	0	information	Important	Very important	strongly oppose	strongly oppose	favor	Religious Beliefs	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16727	10:39 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	18	17	61	19	3	5	0	0	0	99	2	0	Moderate	1	useful information	Somewhat important	One of the most important things, but not the most important.	strongly favor	favor	strongly favor	Education	Education	Media	Regular Lecures	STAT 10
16728	10:48 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	18	18	72	19	0.1	5	0	0	0	50	0	3	Conservative	1	information in numbers	Not important	One of the most important things, but not the most important.	favor	oppose	favor	I don't know	Media	I don't know	Regular Lecures	STAT 10
16729	10:55 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	16.5	20.3	66	19	3	7	1	0	0	99	0	0	Moderate	1	facts and stats collected	Very important	One of the most important things, but not the most important.	favor	strongly oppose	no opinion	Friends and family	Education	No opinion	Regular Lecures	STAT 10
16730	11:25 PM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	10	10	66	18	11	6	0	0	0	99	0	0	Moderate	1	information	Not important	Very important	oppose	favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16731	11:18 AM on 09/24/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	5	4	66	20	6	8	1	0	0	60	0	0	Moderate	1	Text and numerical info	Somewhat important	Very important	no opinion	favor	favor	I don't know	No opinion	I don't know	Regular Lecures	STAT 10
16732	11:36 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	21	21.5	62.5	19	4	8	0	0.5	0.5	52	0	1	Liberal	1	information for a set	Somewhat important	One of the most important things, but not the most important.	oppose	strongly favor	favor	Media	Personal Experience	Something else	Regular Lecures	STAT 10
16733	11:36 PM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	23	24	72	19	2	7	1	3	4	99	0	0	Very Conservative	0	interpretive analysis	Not important	One of the most important things, but not the most important.	strongly favor	strongly oppose	strongly favor	Education	Religious Beliefs	Media	Regular Lecures	STAT 10
16734	12:17 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	24	24	62	19	6	8	1	0	0	90	0	0	Conservative	1	information	Somewhat important	Somewhat important	oppose	strongly oppose	favor	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16735	12:19 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	8	8	69.5	19	4	6	1	0	0	99	0	0	Moderate	0	Quantitative information.	Not important	Important	favor	favor	no opinion	Something else	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16736	12:22 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Both	25	25	36	20	3	10	1	0	6	99	0	0	Very Liberal	1	Information	Not important	Very important	strongly favor	strongly favor	strongly favor	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16738	12:33 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	10	10	67	20	4	7	0	1	1	70	0	1	Conservative	1	information	Not important	Somewhat important	strongly favor	no opinion	favor	Friends and family	Friends and family	No opinion	Regular Lecures	STAT 10
16739	12:41 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	21	21	66	20	4	7	0	1	1	99	0	0	Liberal	1	collection of facts	Not important	Somewhat important	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16740	12:53 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	20	19	63.5	19	3	8	1	2	0	95	2	0	Liberal	1	facts collectedto analyze	Not important	Important	no opinion	favor	favor	No opinion	Friends and family	Something else	Regular Lecures	STAT 10
16741	01:02 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	23	22	63.5	19	9	8	1	0	0	99	0	0	Liberal	1	results of an experiment	Not important	One of the most important things, but not the most important.	no opinion	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16742	01:05 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	13	13	68	20	6	8	0	0	0	99	0	10	Conservative	1	fun	Important	One of the most important things, but not the most important.	no opinion	no opinion	no opinion	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16743	01:10 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	9	9	64	190	1	9	0	0	1	19	0	0	Moderate	0	A lot of information	Don't know for sure	Very important	no opinion	no opinion	favor	Media	I don't know	I don't know	Regular Lecures	STAT 10
16744	01:37 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	15	15	71	20	5	7	0	0	2	2	0	0	Conservative	1	how would you define it?	One of the most important things, but not the most important.	Very important	strongly favor	no opinion	no opinion	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16745	01:54 AM on 09/22/2011	Introduction to Statistical Reasoning	Laura Mustavich	Female	Right	20	20	62	20	8	4	1	2	5	5	0	0	Moderate	1	collected information	Don't know for sure	Somewhat important	no opinion	favor	strongly favor	I don't know	Media	Education	Regular Lecures	STAT 10
16746	02:29 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	20	78	17	10	9	1	0	1.5	99	0	0	Moderate	0	Recorded information	Not important	Somewhat important	favor	no opinion	strongly favor	Personal Experience	Education	Friends and family	Regular Lecures	STAT 10
16747	07:14 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	15	16	62.2	17	10	3	1	0.25	0	99	0	6	Moderate	1	Group of variables	Not important	Very important	oppose	strongly favor	strongly favor	Education	Media	Media	Regular Lecures	STAT 10
16748	07:27 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	21	24	70	20	9	4	0	0	0	86	0	0	Liberal	1	Set of numbers	Not important	Important	favor	strongly favor	favor	Friends and family	Personal Experience	Personal Experience	Regular Lecures	STAT 10
16749	08:00 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	18	18.5	63	21	4	8	0	1	0	20	1	0	Liberal	1	information gathered	Somewhat important	Somewhat important	favor	strongly favor	strongly favor	Something else	Personal Experience	Friends and family	Regular Lecures	STAT 10
16750	08:17 AM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.8	17.5	65.5	19	4	6	0	0	0	12	0	0	Liberal	0	Numerical Information	Not important	Somewhat important	strongly oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16752	08:42 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19	19	70	20	2	7	0	0	0	13	0	2	Moderate	1	numbers can prove truth	Somewhat important	Important	oppose	favor	favor	Friends and family	Education	Education	Regular Lecures	STAT 10
16753	08:52 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	227	21	67	19	9	6	1	1	1	99	0	5	Liberal	1	A series of information	Somewhat important	One of the most important things, but not the most important.	favor	favor	strongly favor	Religious Beliefs	Something else	Something else	Regular Lecures	STAT 10
16754	08:57 AM on 09/22/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	20	20	6	20	1	6	1	0	0	0	0	0	Moderate	1	numbers	Important	Important	favor	favor	favor	Media	Media	Media	Regular Lecures	STAT 10
